3ww3esz,split,question_id,track,topic_area,difficulty_level,difficulty_encoded,question_text,model_answer,student_answer,label,student_word_count,model_word_count,length_ratio,max_score
S00897,train,DA021,Data Analysis,SQL,easy,0,What is SQL and what is it used for?,"SQL is a language used to manage and query relational databases, performing SELECT, INSERT, UPDATE, and DELETE operations.","SQL is the standard way to work with relational databases. It uses SELECT to read, INSERT to create, UPDATE to modify, and DELETE to remove data from tables.",2,28,18,1.556,10
S03787,train,FE030,Front-End,JavaScript,hard,2,What is the difference between localStorage and sessionStorage?,localStorage persists data with no expiration. sessionStorage stores data only for the page session and clears when the tab closes.,The this keyword always refers to the global object.,0,9,20,0.45,10
S06565,train,FE029,Front-End,JavaScript,hard,2,What is closure in JavaScript?,A closure is a function that retains access to its outer scope variables even after the outer function has finished executing.,null and undefined are exactly the same value in JavaScript.,0,10,21,0.476,10
S07277,train,DA019,Data Analysis,Statistics,medium,1,What is a normal distribution?,A normal distribution is a symmetric bell-shaped probability distribution where data clusters around the mean with equal tails on both sides.,Median splits data into two equal halves.,1,7,21,0.333,10
S05842,train,FE025,Front-End,JavaScript,medium,1,What is a Promise in JavaScript?,"A Promise represents the eventual completion or failure of an asynchronous operation with states: pending, fulfilled, or rejected.",JSON is a programming language separate from JavaScript.,0,8,18,0.444,10
S02311,train,DA007,Data Analysis,Pandas,hard,2,Explain the difference between merge() and concat() in pandas.,"merge() joins DataFrames based on common columns like SQL joins, while concat() stacks DataFrames along an axis.",Pandas DataFrames can only have string column names.,0,8,17,0.471,10
S05496,test,FE018,Front-End,CSS,hard,2,What is a CSS pseudo-class? Give examples.,"A pseudo-class styles elements based on state, such as :hover for mouse-over, :focus for inputs, and :nth-child() for position.","Flexbox handles one-dimensional layouts — either a row or a column — with controls for distribution, alignment, and wrapping of items.",2,21,19,1.105,10
S04845,train,DA015,Data Analysis,Statistics,easy,0,"What is the difference between mean, median, and mode?",Mean is the average of all values. Median is the middle value. Mode is the most frequently occurring value.,Standard deviation is the square root of variance — it measures the average distance from the mean in original units.,2,20,19,1.053,10
S01792,train,FE003,Front-End,HTML,easy,0,What is the purpose of the HTML head tag?,"The head tag contains metadata like title, charset, linked stylesheets, and scripts not displayed on the page.",Required form fields are automatically validated by the browser.,0,9,17,0.529,10
S01263,train,FE019,Front-End,JavaScript,easy,0,What is JavaScript?,"JavaScript is a scripting language that adds interactivity, dynamic behavior, and logic to web pages, running in the browser.","A Promise is a placeholder for an async result — it's pending until the operation completes, then it's fulfilled or rejected.",2,21,19,1.105,10
S01115,train,DA020,Data Analysis,Statistics,hard,2,What is an outlier and how can it be detected?,"An outlier is a data point significantly different from others. It is detected using IQR, z-scores, or box plots.",Pearson correlation measures linear relationships between continuous variables.,1,8,19,0.421,10
S07435,test,FE004,Front-End,HTML,medium,1,What is semantic HTML?,"Semantic HTML uses meaningful tags like header, nav, article, and footer that describe content purpose, improving accessibility and SEO.",iframe is deprecated and should never be used.,0,8,19,0.421,10
S01865,train,FE003,Front-End,HTML,easy,0,What is the purpose of the HTML head tag?,"The head tag contains metadata like title, charset, linked stylesheets, and scripts not displayed on the page.",Semantic HTML uses descriptive tags to make content more meaningful.,1,10,17,0.588,10
S02881,train,FE002,Front-End,HTML,easy,0,What is the difference between block and inline elements in HTML?,Block elements start on a new line and take full width. Inline elements flow within content and take only needed width.,Inline elements can always contain block-level elements.,0,7,21,0.333,10
S05643,train,DA029,Data Analysis,EDA,hard,2,What is feature engineering?,"Feature engineering creates, transforms, or selects variables from raw data to improve machine learning model performance.","EDA shapes all downstream decisions in a project — which features to use, how to clean data, which model to try first.",2,22,16,1.375,10
S05836,train,FE025,Front-End,JavaScript,medium,1,What is a Promise in JavaScript?,"A Promise represents the eventual completion or failure of an asynchronous operation with states: pending, fulfilled, or rejected.","async/await is only available in Node.js, not in browsers.",0,9,18,0.5,10
S05525,test,FE018,Front-End,CSS,hard,2,What is a CSS pseudo-class? Give examples.,"A pseudo-class styles elements based on state, such as :hover for mouse-over, :focus for inputs, and :nth-child() for position.",CSS custom properties work well with media queries for theming.,1,10,19,0.526,10
S03169,train,DA028,Data Analysis,EDA,easy,0,What is data cleaning?,"Data cleaning handles missing values, removes duplicates, corrects errors, and transforms data to ensure quality and consistency.",Data leakage is not a concern during EDA.,0,8,17,0.471,10
S07169,train,DA019,Data Analysis,Statistics,medium,1,What is a normal distribution?,A normal distribution is a symmetric bell-shaped probability distribution where data clusters around the mean with equal tails on both sides.,Median splits data into two equal halves.,1,7,21,0.333,10
S07698,test,DA026,Data Analysis,SQL,hard,2,What is indexing in a database and why is it important?,Indexing creates a data structure to speed up query retrieval. It improves performance but requires storage and slows insertions.,"SQL is used to manage data in relational databases — it supports reading with SELECT, writing with INSERT, updating with UPDATE, and deleting with DELETE.",2,25,19,1.316,10
S03210,train,DA028,Data Analysis,EDA,easy,0,What is data cleaning?,"Data cleaning handles missing values, removes duplicates, corrects errors, and transforms data to ensure quality and consistency.","EDA is the first step in data analysis — you understand the data's structure, quality, and patterns before building models.",2,20,17,1.176,10
S02518,train,DA005,Data Analysis,Pandas,medium,1,What is the difference between loc and iloc in pandas?,loc uses label-based indexing while iloc uses integer position-based indexing to select rows and columns.,Pandas is part of the matplotlib library.,0,7,15,0.467,10
S02498,train,DA005,Data Analysis,Pandas,medium,1,What is the difference between loc and iloc in pandas?,loc uses label-based indexing while iloc uses integer position-based indexing to select rows and columns.,groupby() splits data into groups so you can apply functions to each.,1,12,15,0.8,10
S02684,train,DA002,Data Analysis,Pandas,easy,0,How do you read a CSV file using pandas?,You use pd.read_csv('filename.csv') to read a CSV file into a DataFrame.,Missing values can be dropped or imputed with some constant value.,1,11,11,1,10
S00022,train,DA012,Data Analysis,Visualization,medium,1,What is seaborn and how does it differ from matplotlib?,Seaborn is a high-level statistical visualization library built on matplotlib with easier syntax and better default aesthetics.,Seaborn only works with pandas DataFrames that have no missing values.,0,11,17,0.647,10
S06770,train,DA003,Data Analysis,Pandas,easy,0,What does the pandas describe() function return?,"It returns summary statistics including count, mean, std, min, 25%, 50%, 75%, and max for numerical columns.",describe() shows basic stats — I know it includes count and mean at least.,1,14,17,0.824,10
S05736,train,FE021,Front-End,JavaScript,easy,0,What is the DOM?,The DOM is a tree-like representation of an HTML document that JavaScript manipulates to change content and structure.,The DOM represents the HTML document as a node tree. JavaScript can traverse and manipulate it to dynamically update the page.,2,21,18,1.167,10
S04840,train,DA015,Data Analysis,Statistics,easy,0,"What is the difference between mean, median, and mode?",Mean is the average of all values. Median is the middle value. Mode is the most frequently occurring value.,IQR and standard deviation measure the same thing.,0,8,19,0.421,10
S02156,test,DA001,Data Analysis,Pandas,medium,1,What is a DataFrame in pandas?,"A DataFrame is a two-dimensional, size-mutable, tabular data structure with labeled axes (rows and columns) in pandas.","I think loc takes row and column labels, iloc takes integer positions.",1,12,17,0.706,10
S01692,test,FE009,Front-End,CSS,easy,0,What is CSS?,"CSS is a stylesheet language used to control the visual presentation of HTML including colors, fonts, and layout.",IDs have higher specificity than classes — an ID selector beats any number of class selectors in the cascade.,2,19,18,1.056,10
S00334,train,FE023,Front-End,JavaScript,medium,1,What is the difference between == and === in JavaScript?,"== compares values with type coercion. === compares both value and type without coercion, making it stricter.",WeakMap keys can be primitive values like strings.,0,8,17,0.471,10
S02016,train,DA011,Data Analysis,Visualization,medium,1,When would you use a scatter plot?,A scatter plot is used to visualize the relationship or correlation between two continuous numerical variables.,Bar charts are best for comparing category totals or averages with a clear visual reference.,2,15,16,0.938,10
S03506,train,DA018,Data Analysis,Statistics,medium,1,What is the difference between variance and standard deviation?,"Variance is the average of squared differences from the mean. Standard deviation is the square root of variance, in the same units as the data.",Outliers are extreme values far from the rest of the data.,1,11,25,0.44,10
S01578,test,DA006,Data Analysis,Pandas,medium,1,What is groupby() used for in pandas?,"groupby() splits data into groups, applies a function, and combines results for aggregation.",loc selects data by label — you give it row labels and column names. iloc selects by integer position — row number and column number.,2,25,13,1.923,10
S02192,train,DA013,Data Analysis,Visualization,medium,1,What is a heatmap used for in data analysis?,"A heatmap displays data values as colors in a matrix format, commonly used to visualize correlation matrices.",Histograms show how data is distributed across a range of values.,1,11,17,0.647,10
S00645,train,DA030,Data Analysis,EDA,hard,2,What is the difference between supervised and unsupervised learning?,Supervised learning trains on labeled data to predict outcomes. Unsupervised learning finds patterns in unlabeled data without predefined outputs.,Feature engineering bridges the gap between raw data and what the model needs — it's often the most impactful step.,2,20,19,1.053,10
S08085,train,FE008,Front-End,HTML,hard,2,What are data attributes in HTML?,Data attributes (data-*) store custom data in HTML elements. They are accessed via JavaScript using dataset and do not affect rendering.,"The head contains metadata: title, charset declaration, viewport, linked stylesheets, and script imports.",2,13,21,0.619,10
S03288,test,FE024,Front-End,JavaScript,medium,1,What is a callback function in JavaScript?,A callback is a function passed as an argument to another function and executed after that function completes.,A closure is when an inner function retains access to variables from its outer function's scope even after the outer function has finished.,2,23,18,1.278,10
S01331,train,FE019,Front-End,JavaScript,easy,0,What is JavaScript?,"JavaScript is a scripting language that adds interactivity, dynamic behavior, and logic to web pages, running in the browser.",async functions always return a Promise.,1,6,19,0.316,10
S07691,train,DA004,Data Analysis,Pandas,medium,1,How do you handle missing values in a pandas DataFrame?,"You can use dropna() to remove missing values, fillna() to replace them, or interpolate() to estimate them.",describe() provides summary statistics for the numerical columns.,1,8,17,0.471,10
S06108,train,FE026,Front-End,JavaScript,medium,1,What is async/await in JavaScript?,async/await is syntactic sugar over Promises that allows writing asynchronous code in a synchronous readable style.,"JavaScript is the programming language of the web — it runs in browsers to add interactivity, handle events, and dynamically update content.",2,22,16,1.375,10
S00484,test,FE006,Front-End,HTML,medium,1,What are HTML forms used for?,"HTML forms collect user input through fields, checkboxes, and buttons, then submit data to a server for processing.",HTML is case-sensitive so tags must always be lowercase.,0,9,18,0.5,10
S03011,train,DA024,Data Analysis,SQL,medium,1,What is a JOIN in SQL? Name the types.,"A JOIN combines rows from two tables. Types include INNER JOIN, LEFT JOIN, RIGHT JOIN, and FULL OUTER JOIN.",SQL is a database query language — it lets you pull data from tables.,1,14,19,0.737,10
S01610,test,DA006,Data Analysis,Pandas,medium,1,What is groupby() used for in pandas?,"groupby() splits data into groups, applies a function, and combines results for aggregation.",groupby is used to compute aggregates for different categories.,1,9,13,0.692,10
S06541,train,FE029,Front-End,JavaScript,hard,2,What is closure in JavaScript?,A closure is a function that retains access to its outer scope variables even after the outer function has finished executing.,The 'use strict' directive makes code run faster.,0,8,21,0.381,10
S02851,train,FE002,Front-End,HTML,easy,0,What is the difference between block and inline elements in HTML?,Block elements start on a new line and take full width. Inline elements flow within content and take only needed width.,The figure element must always contain an img element.,0,9,21,0.429,10
S08285,train,FE041,Front-End,Git,medium,1,What is the difference between git merge and git rebase?,"git merge combines two branches by creating a merge commit. git rebase moves commits from one branch onto another, creating a cleaner linear history.","merge keeps the branch history, rebase creates a cleaner linear history.",1,11,24,0.458,10
S08154,test,FE033,Front-End,React,medium,1,What is the difference between props and state in React?,Props are read-only data passed from parent to child components. State is mutable data managed within a component that triggers re-render when changed.,"Props pass read-only data downward through the component tree. State is local, mutable data managed by the component itself. Updating state with the setter function triggers a re-render.",2,28,23,1.217,10
S04098,train,DA014,Data Analysis,Visualization,hard,2,Explain what a box plot shows.,"A box plot displays the median, quartiles, interquartile range, and outliers of a dataset in a compact visual format.",A heatmap is a grid where each cell's color represents its value — very useful for visualizing correlation matrices in EDA.,2,21,19,1.105,10
S01581,test,DA006,Data Analysis,Pandas,medium,1,What is groupby() used for in pandas?,"groupby() splits data into groups, applies a function, and combines results for aggregation.","describe() returns count, mean, std, min, max, and quartiles for each numeric column — a quick statistical summary.",2,18,13,1.385,10
S08063,train,FE008,Front-End,HTML,hard,2,What are data attributes in HTML?,Data attributes (data-*) store custom data in HTML elements. They are accessed via JavaScript using dataset and do not affect rendering.,"The head holds the title, meta tags, and stylesheet links.",1,10,21,0.476,10
S01761,train,FE003,Front-End,HTML,easy,0,What is the purpose of the HTML head tag?,"The head tag contains metadata like title, charset, linked stylesheets, and scripts not displayed on the page.","The head section contains metadata about the document — the page title, linked CSS/JS files, meta descriptions, and viewport settings.",2,20,17,1.176,10
S04175,train,DA014,Data Analysis,Visualization,hard,2,Explain what a box plot shows.,"A box plot displays the median, quartiles, interquartile range, and outliers of a dataset in a compact visual format.",A histogram groups data into bins and shows the count in each bin.,1,13,19,0.684,10
S00308,train,FE023,Front-End,JavaScript,medium,1,What is the difference between == and === in JavaScript?,"== compares values with type coercion. === compares both value and type without coercion, making it stricter.",JavaScript runs in the browser and can manipulate the HTML DOM.,1,11,17,0.647,10
S03000,train,DA024,Data Analysis,SQL,medium,1,What is a JOIN in SQL? Name the types.,"A JOIN combines rows from two tables. Types include INNER JOIN, LEFT JOIN, RIGHT JOIN, and FULL OUTER JOIN.","SQL allows you to work with data stored in relational databases. You query data with SELECT, add records with INSERT, change them with UPDATE, and remove them with DELETE.",2,29,19,1.526,10
S00468,test,FE006,Front-End,HTML,medium,1,What are HTML forms used for?,"HTML forms collect user input through fields, checkboxes, and buttons, then submit data to a server for processing.",Block elements like div and p start on new lines and take up the full available width. Inline elements like span and a sit within text flow.,2,27,18,1.5,10
S06887,train,FE014,Front-End,CSS,medium,1,What is the difference between position relative and position absolute?,Relative positions an element relative to its normal position. Absolute positions it relative to its nearest positioned ancestor.,Pseudo-classes respond to user interaction or structural conditions.,1,8,18,0.444,10
S07737,test,DA026,Data Analysis,SQL,hard,2,What is indexing in a database and why is it important?,Indexing creates a data structure to speed up query retrieval. It improves performance but requires storage and slows insertions.,"SQL stands for Structured Query Language, used to manage relational databases. You SELECT data to read it, INSERT to add, UPDATE to change, and DELETE to remove records.",2,28,19,1.474,10
S07624,train,DA004,Data Analysis,Pandas,medium,1,How do you handle missing values in a pandas DataFrame?,"You can use dropna() to remove missing values, fillna() to replace them, or interpolate() to estimate them.",merge() stacks DataFrames vertically.,0,4,17,0.235,10
S06699,test,FE012,Front-End,CSS,medium,1,What is Flexbox in CSS?,"Flexbox arranges items in a row or column, allowing flexible sizing and alignment within a container.",CSS Grid is a 2D layout system — you define the grid structure (rows and columns) and place items precisely or let them auto-flow.,2,24,16,1.5,10
S00843,train,DA021,Data Analysis,SQL,easy,0,What is SQL and what is it used for?,"SQL is a language used to manage and query relational databases, performing SELECT, INSERT, UPDATE, and DELETE operations.","SQL allows you to work with data stored in relational databases. You query data with SELECT, add records with INSERT, change them with UPDATE, and remove them with DELETE.",2,29,18,1.611,10
S05029,test,FE010,Front-End,CSS,easy,0,What is the CSS box model?,"The CSS box model describes rectangular boxes consisting of content, padding, border, and margin from inside out.",CSS blend modes only work with background colors.,0,8,17,0.471,10
S06175,train,FE026,Front-End,JavaScript,medium,1,What is async/await in JavaScript?,async/await is syntactic sugar over Promises that allows writing asynchronous code in a synchronous readable style.,Optional chaining (?.) throws an error if a property is undefined.,0,11,16,0.688,10
S01826,train,FE003,Front-End,HTML,easy,0,What is the purpose of the HTML head tag?,"The head tag contains metadata like title, charset, linked stylesheets, and scripts not displayed on the page.","GET queries show parameters in the URL bar, POST doesn't.",1,10,17,0.588,10
S06935,train,FE014,Front-End,CSS,medium,1,What is the difference between position relative and position absolute?,Relative positions an element relative to its normal position. Absolute positions it relative to its nearest positioned ancestor.,Pseudo-classes like :hover select elements in specific states.,1,8,18,0.444,10
S03754,train,FE020,Front-End,JavaScript,easy,0,"What is the difference between var, let, and const in JavaScript?",var is function-scoped and hoisted. let is block-scoped and reassignable. const is block-scoped and cannot be reassigned.,"JavaScript can only run on servers using Node.js, not in browsers.",0,11,17,0.647,10
S02694,train,DA002,Data Analysis,Pandas,easy,0,How do you read a CSV file using pandas?,You use pd.read_csv('filename.csv') to read a CSV file into a DataFrame.,"A DataFrame has an index (row labels), columns (column labels), and the underlying data — all accessible through a unified API.",2,21,11,1.909,10
S03601,train,DA025,Data Analysis,SQL,medium,1,What is the purpose of GROUP BY in SQL?,"GROUP BY groups rows with the same column values so aggregate functions like COUNT, SUM, or AVG can be applied.",SQL is used to write operating system kernels.,0,8,20,0.4,10
S06614,train,FE029,Front-End,JavaScript,hard,2,What is closure in JavaScript?,A closure is a function that retains access to its outer scope variables even after the outer function has finished executing.,undefined is the default value for declared but unassigned variables.,1,10,21,0.476,10
S02626,train,DA002,Data Analysis,Pandas,easy,0,How do you read a CSV file using pandas?,You use pd.read_csv('filename.csv') to read a CSV file into a DataFrame.,fillna() removes rows with missing values.,0,6,11,0.545,10
S07282,train,DA019,Data Analysis,Statistics,medium,1,What is a normal distribution?,A normal distribution is a symmetric bell-shaped probability distribution where data clusters around the mean with equal tails on both sides.,Variance can only be measured for continuous variables.,0,8,21,0.381,10
S06723,test,FE012,Front-End,CSS,medium,1,What is Flexbox in CSS?,"Flexbox arranges items in a row or column, allowing flexible sizing and alignment within a container.",An element with position:absolute is removed from document flow and placed relative to the nearest positioned ancestor's edges.,2,18,16,1.125,10
S03066,train,DA024,Data Analysis,SQL,medium,1,What is a JOIN in SQL? Name the types.,"A JOIN combines rows from two tables. Types include INNER JOIN, LEFT JOIN, RIGHT JOIN, and FULL OUTER JOIN.","SQL lets you query and manage relational databases using a set of commands. SELECT, INSERT, UPDATE, and DELETE are the four basic data manipulation operations.",2,25,19,1.316,10
S07799,test,DA026,Data Analysis,SQL,hard,2,What is indexing in a database and why is it important?,Indexing creates a data structure to speed up query retrieval. It improves performance but requires storage and slows insertions.,SQL allows querying of relational databases using commands like SELECT.,1,10,19,0.526,10
S06222,train,DA023,Data Analysis,SQL,medium,1,What is the difference between WHERE and HAVING in SQL?,"WHERE filters rows before grouping, while HAVING filters groups after a GROUP BY operation.","SQL lets you manage relational databases with commands: SELECT to retrieve rows, INSERT to add them, UPDATE to change values, DELETE to remove records.",2,24,14,1.714,10
S04324,train,DA008,Data Analysis,Pandas,hard,2,What is a pivot table and how is it created in pandas?,"A pivot table reshapes data by aggregating values. It is created using pd.pivot_table() with index, columns, and aggfunc parameters.",The shape attribute returns the column names of a DataFrame.,0,10,19,0.526,10
S05939,train,FE025,Front-End,JavaScript,medium,1,What is a Promise in JavaScript?,"A Promise represents the eventual completion or failure of an asynchronous operation with states: pending, fulfilled, or rejected.","localStorage keeps data across browser sessions, sessionStorage clears on close.",1,10,18,0.556,10
S06578,train,FE029,Front-End,JavaScript,hard,2,What is closure in JavaScript?,A closure is a function that retains access to its outer scope variables even after the outer function has finished executing.,The DOM represents the structure of an HTML document as a tree.,1,12,21,0.571,10
S07215,train,DA019,Data Analysis,Statistics,medium,1,What is a normal distribution?,A normal distribution is a symmetric bell-shaped probability distribution where data clusters around the mean with equal tails on both sides.,Detecting outliers: IQR method uses Q1-1.5*IQR and Q3+1.5*IQR as bounds; z-score method uses standardized distances from the mean.,2,18,21,0.857,10
S06725,test,FE012,Front-End,CSS,medium,1,What is Flexbox in CSS?,"Flexbox arranges items in a row or column, allowing flexible sizing and alignment within a container.",The box model describes how space is allocated around elements.,1,10,16,0.625,10
S01659,test,FE009,Front-End,CSS,easy,0,What is CSS?,"CSS is a stylesheet language used to control the visual presentation of HTML including colors, fonts, and layout.","CSS Grid is a two-dimensional layout system that lets you define explicit rows and columns, then place items precisely within the grid cells.",2,23,18,1.278,10
S05276,train,DA016,Data Analysis,Statistics,medium,1,What is standard deviation?,Standard deviation measures the spread of data around the mean. Low values mean data clusters near the mean; high values mean it is spread out.,Standard deviation is useful for comparing variability across datasets.,1,9,25,0.36,10
S01231,train,FE019,Front-End,JavaScript,easy,0,What is JavaScript?,"JavaScript is a scripting language that adds interactivity, dynamic behavior, and logic to web pages, running in the browser.",The DOM is a separate programming language from JavaScript.,0,9,19,0.474,10
S06975,train,FE014,Front-End,CSS,medium,1,What is the difference between position relative and position absolute?,Relative positions an element relative to its normal position. Absolute positions it relative to its nearest positioned ancestor.,The box model is how the browser calculates element dimensions: content size + padding + border + margin = total space.,2,21,18,1.167,10
S07938,test,FE007,Front-End,HTML,hard,2,What is the difference between GET and POST methods in HTML forms?,GET appends data to the URL for non-sensitive retrieval. POST sends data in the request body for sensitive or large submissions.,Block elements like div and p start on new lines and take up the full available width. Inline elements like span and a sit within text flow.,2,27,21,1.286,10
S05149,train,DA027,Data Analysis,EDA,easy,0,What is Exploratory Data Analysis (EDA)?,"EDA analyzes datasets to summarize characteristics, find patterns, detect anomalies, and test hypotheses using visual and statistical methods.",Outlier detection is not part of the EDA process.,0,9,18,0.5,10
S05370,train,DA016,Data Analysis,Statistics,medium,1,What is standard deviation?,Standard deviation measures the spread of data around the mean. Low values mean data clusters near the mean; high values mean it is spread out.,Standard deviation tells you the typical distance of data points from the mean — a higher std means more spread.,2,20,25,0.8,10
S05971,test,FE017,Front-End,CSS,hard,2,What is the difference between em and rem units in CSS?,"em is relative to the parent font size. rem is relative to the root element font size, making it more predictable.",CSS blend modes only work with background colors.,0,8,21,0.381,10
S02635,train,DA002,Data Analysis,Pandas,easy,0,How do you read a CSV file using pandas?,You use pd.read_csv('filename.csv') to read a CSV file into a DataFrame.,Pandas is part of the matplotlib library.,0,7,11,0.636,10
S04787,train,DA015,Data Analysis,Statistics,easy,0,"What is the difference between mean, median, and mode?",Mean is the average of all values. Median is the middle value. Mode is the most frequently occurring value.,Standard deviation and variance both measure data spread.,1,8,19,0.421,10
S02442,train,DA005,Data Analysis,Pandas,medium,1,What is the difference between loc and iloc in pandas?,loc uses label-based indexing while iloc uses integer position-based indexing to select rows and columns.,"A DataFrame is pandas' core data structure — a 2D table with named columns and an index, stored in memory.",2,20,15,1.333,10
S05040,test,FE010,Front-End,CSS,easy,0,What is the CSS box model?,"The CSS box model describes rectangular boxes consisting of content, padding, border, and margin from inside out.","Specificity determines rule priority: ID selectors (0,1,0,0) beat class selectors (0,0,1,0) which beat element selectors (0,0,0,1).",2,16,17,0.941,10
